"","X","X.","Game","Release.date","Price","Userscore","Metascore","Owners","Median"
"1",1,4,"Grand Theft Auto V","2015-04-13",59.99,0.8,0.96,2982247,54.83333333
"2",2,5,"METAL GEAR SOLID V: THE PHANTOM PAIN","2015-09-01",59.99,0.9,0.95,667019,32.06666667
"3",3,9,"Mass Effect 2","2010-01-26",19.99,0.96,0.94,1435767,27.95
"4",4,48,"Dragon Age: Origins","2009-11-05",19.99,0.93,0.91,719711,25.15
"5",5,68,"Borderlands 2","2012-09-17",4.99,0.96,0.89,5459966,25.66666667
"6",6,86,"EVE Online","2010-12-15",19.99,0.86,0.88,333205,24.18333333
"7",7,130,"Europa Universalis IV","2013-08-13",39.99,0.92,0.87,773316,29.86666667
"8",8,146,"Call of Duty: Modern Warfare 2 - Multiplayer","2009-11-11",19.99,0.9,0.86,4664111,51.73333333
"9",9,160,"NBA 2K12","2011-10-04",19.99,NA,0.86,40965,29.73333333
"10",10,274,"FINAL FANTASY XIV: A Realm Reborn","2014-02-18",19.99,0.89,0.83,334880,34.38333333
"11",11,312,"Pro Evolution Soccer 2015","2014-11-13",19.99,0.67,0.82,135384,34.55
"12",12,496,"Football Manager 2015",NA,49.99,0.76,0.8,1146268,146.3166667
"13",13,498,"Far Cry 4",NA,49.99,0.77,0.8,479249,26.51666667
"14",14,458,"Total War: ATTILA","2015-02-17",44.99,0.67,0.8,450467,27.46666667
"15",15,451,"DARK SOULS II: Scholar of the First Sin","2015-04-01",49.99,0.84,0.8,364576,24.26666667
"16",16,449,"Order of Battle : Pacific","2015-04-30",39.99,NA,0.8,8680,26.25
"17",17,571,"Mount & Blade: Warband","2010-03-31",19.99,0.96,0.78,2253856,32.78333333
"18",18,569,"Avernum 2: Crystal Souls","2015-01-14",19.99,NA,0.78,7614,26.83333333
"19",19,894,"Arma 3","2013-09-12",59.99,0.9,0.74,1936793,33.75
"20",20,1461,"Farming Simulator 15","2014-10-30",29.99,0.89,0.64,337774,27.05
"21",21,4167,"Call of Duty: Modern Warfare 3 - Multiplayer","2011-11-08",39.99,NA,NA,3109255,32.35
"22",22,3691,"Starbound","2013-12-04",14.99,0.9,NA,1948672,24.21666667
"23",23,1902,"The Binding of Isaac: Rebirth","2014-11-04",14.99,0.97,NA,1047434,29.06666667
"24",24,4735,"Assassin's Creed IV Black Flag","2013-11-19",29.99,0.9,NA,781540,32.21666667
"25",25,2005,"OMSI 2","2013-12-11",34.99,0.75,NA,68986,29.65
"26",26,1851,"Pro Cycling Manager 2015","2015-06-18",39.99,NA,NA,47057,34.16666667
"27",27,4308,"Pro Cycling Manager 2014","2014-06-19",19.99,NA,NA,27107,26.16666667
"28",28,2898,"Pajama Sam: Games to Play on Any Day","2014-10-23",4.99,NA,NA,13858,26.56666667
"29",29,6086,"Don Bradman Cricket 14","2014-06-25",49.99,NA,NA,10660,58.78333333
"30",30,1854,"Mahjong Quest 3","2009-08-24",9.99,NA,NA,6092,47.55
"31",31,2179,"Total Extreme Wrestling","2015-03-19",19.99,NA,NA,5330,30.7
"32",32,4081,"Starwalker","2014-12-23",9.99,NA,NA,4873,50.86666667
"33",33,3385,"Lethal RPG: War","2015-07-17",4.99,NA,NA,4721,24.53333333
"34",34,1997,"Jewel Quest 3","2009-08-24",19.99,NA,NA,4416,29.73333333
"35",35,3069,"Jewel Quest 2","2009-08-24",19.99,NA,NA,4416,49
"36",36,5313,"Cake Mania 2","2009-07-17",14.99,NA,NA,3350,33.2
"37",37,3997,"Nancy Drew: The Deadly Device","2012-10-23",19.99,NA,NA,3198,75.1
"38",38,2235,"Gary Grigsby's War in the East","2015-07-09",79.99,NA,NA,3046,26.16666667
"39",39,1922,"Cake Mania Main Street","2010-02-16",6.99,NA,NA,2589,25.23333333
"40",40,3547,"Pike & Shot","2014-10-17",39.99,NA,NA,2589,100.55
"41",41,3383,"MAGIX Movie Edit Pro 2014 Plus","2014-01-22",0,NA,NA,2437,35.35
"42",42,3966,"Scrabble","2013-06-10",9.99,NA,NA,2284,50.96666667
"43",43,5237,"ItzaZoo","2009-12-09",9.99,NA,NA,2284,27.18333333
"44",44,1878,"Cradle of Persia","2010-02-20",9.99,NA,NA,2132,99.2
